"wave","flux"
4901.2373,5.065181838800876e-17
4902.4873,5.157657420217256e-17
4903.7373,5.004912020459588e-17
4904.9873,4.4106872641481e-17
4906.2373,4.194154437029803e-17
4907.4873,4.258409802095389e-17
4908.7373,4.171440807954765e-17
4909.9873,4.567446195625966e-17
4911.2373,5.205620096842446e-17
4912.4873,5.131517468864533e-17
4913.7373,4.438741800190491e-17
4914.9873,4.035317073115597e-17
4916.2373,4.197348159601659e-17
4917.4873,4.464845295470437e-17
4918.7373,4.366830577709056e-17
4919.9873,4.495004944601178e-17
4921.2373,5.034056911138841e-17
4922.4873,5.025461001549238e-17
4923.7373,4.245117781274111e-17
4924.9873,3.468160749270594e-17
4926.2373,3.38993962342062e-17
4927.4873,3.96013309808425e-17
4928.7373,4.279274787808641e-17
4929.9873,3.928829951533563e-17
4931.2373,4.216380004882812e-17
4932.4873,4.869449712305892e-17
4933.7373,5.220341753170814e-17
4934.9873,5.59074262378834e-17
4936.2373,5.802811012550636e-17
4937.4873,5.435826138720097e-17
4938.7373,4.237427441255547e-17
4939.9873,4.138366683394822e-17
4941.2373,4.907357158142843e-17
4942.4873,4.571225405846112e-17
4943.7373,3.599713173195168e-17
4944.9873,3.73765367371359e-17
4946.2373,4.638725073543595e-17
4947.4873,4.831049799412857e-17
4948.7373,4.886775739504966e-17
4949.9873,5.274657258963878e-17
4951.2373,5.343184657720873e-17
4952.4873,5.303768526807244e-17
4953.7373,5.412012855058835e-17
4954.9873,5.807927310896507e-17
4956.2373,6.296778114601418e-17
4957.4873,6.007534452461903e-17
4958.7373,5.199280005937742e-17
4959.9873,4.223175807623215e-17
4961.2373,3.380553017698689e-17
4962.4873,2.962047253267265e-17
4963.7373,3.039750262225116e-17
4964.9873,3.235191611207561e-17
4966.2373,3.34573042052469e-17
4967.4873,3.457090306411553e-17
4968.7373,3.48225678620515e-17
4969.9873,3.369429313753858e-17
4971.2373,3.170567484537761e-17
4972.4873,3.160488373556253e-17
4973.7373,3.491255530086563e-17
4974.9873,3.770462357132521e-17
4976.2373,3.750562286000192e-17
4977.4873,3.808345927674094e-17
4978.7373,4.034527802643953e-17
4979.9873,4.279033885061006e-17
4981.2373,4.279622627917628e-17
4982.4873,4.174924050413531e-17
4983.7373,4.008218425986209e-17
4984.9873,3.990110751681857e-17
4986.2373,3.687836547851563e-17
4987.4873,3.163248684353299e-17
4988.7373,3.325497071819541e-17
4989.9873,3.776474809811439e-17
4991.2373,3.9261716059932e-17
4992.4873,4.120181931483894e-17
4993.7373,4.196769144694011e-17
4994.9873,3.908100891866801e-17
4996.2373,3.682766713083525e-17
4997.4873,4.175175092532311e-17
4998.7373,4.262339899510512e-17
4999.9873,4.075184896586854e-17
5001.2373,4.25575102554133e-17
5002.4873,4.103287843303917e-17
5003.7373,3.818470058111496e-17
5004.9873,3.41313400909047e-17
5006.2373,3.406925328384211e-17
5007.4873,3.626290635097174e-17
5008.7373,3.621345223885996e-17
5009.9873,3.573191556954089e-17
5011.2373,4.057378375771603e-17
5012.4873,3.502513310185185e-17
5013.7373,3.215195770640431e-17
5014.9873,3.385634847005209e-17
5016.2373,3.644631914303626e-17
5017.4873,3.315802672586324e-17
5018.7373,2.908325417601032e-17
5019.9873,2.910783930272233e-17
5021.2373,3.320422185450423e-17
5022.4873,3.681579246238424e-17
5023.7373,3.766716255093798e-17
5024.9873,3.770262829439139e-17
5026.2373,3.908245481891397e-17
5027.4873,3.806278266059027e-17
5028.7373,3.737667628158758e-17
5029.9873,3.85875552255136e-17
5031.2373,4.169957325122975e-17
5032.4873,4.472508477858555e-17
5033.7373,4.588424155906393e-17
5034.9873,4.874074951925394e-17
5036.2373,5.066659635567369e-17
5037.4873,5.372974677191839e-17
5038.7373,5.503224879135321e-17
5039.9873,4.982037306043835e-17
5041.2373,4.058062172218606e-17
5042.4873,3.858527621045526e-17
5043.7373,3.799186382529176e-17
5044.9873,3.087225616078317e-17
5046.2373,2.766697767469618e-17
5047.4873,3.611482633614244e-17
5048.7373,4.674635517638408e-17
5049.9873,5.201838991518372e-17
5051.2373,5.714686932599102e-17
5052.4873,5.885474196445795e-17
5053.7373,5.261098080482011e-17
5054.9873,4.652759927631895e-17
5056.2373,4.24807403187693e-17
5057.4873,4.256432999975886e-17
5058.7373,4.933231553065924e-17
5059.9873,5.72835260989342e-17
5061.2373,6.070900369526426e-17
5062.4873,6.009886365348908e-17
5063.7373,5.739713984736689e-17
5064.9873,5.297433430236062e-17
5066.2373,5.450589009602864e-17
5067.4873,6.119031855830438e-17
5068.7373,5.560768856095678e-17
5069.9873,4.511201344431182e-17
5071.2373,4.537232326931422e-17
5072.4873,5.058468728147906e-17
5073.7373,5.02721006115572e-17
5074.9873,5.379978924786604e-17
5076.2373,5.730281008119936e-17
5077.4873,5.42245025031949e-17
5078.7373,5.576973207073444e-17
5079.9873,5.707663696289061e-17
5081.2373,5.458554632493005e-17
5082.4873,5.628894070849006e-17
5083.7373,5.308620769736208e-17
5084.9873,4.261238443256896e-17
5086.2373,4.301859904724874e-17
5087.4873,4.857281147521216e-17
5088.7373,4.85597317768615e-17
5089.9873,5.147268327124324e-17
5091.2373,5.625903769410684e-17
5092.4873,5.593796089078173e-17
5093.7373,5.815226091549718e-17
5094.9873,5.955959956416377e-17
5096.2373,5.900118715639467e-17
5097.4873,5.952314990385079e-17
5098.7373,6.237522333592543e-17
5099.9873,6.474726032775125e-17
5101.2373,6.391071592731239e-17
5102.4873,6.015612487792969e-17
5103.7373,5.550191351243008e-17
5104.9873,5.531528938199268e-17
5106.2373,6.217520469382957e-17
5107.4873,6.392609099965034e-17
5108.7373,6.146736317575712e-17
5109.9873,5.986726025993438e-17
5111.2373,5.865147656852815e-17
5112.4873,5.478864791304975e-17
5113.7373,5.19174072340977e-17
5114.9873,4.692613333996431e-17
5116.2373,4.45358251877773e-17
5117.4873,5.251159193250868e-17
5118.7373,5.56802268322603e-17
5119.9873,5.827515613697192e-17
5121.2373,6.416372455361446e-17
5122.4873,6.944747567635995e-17
5123.7373,7.057401670856243e-17
5124.9873,6.768599211516206e-17
5126.2373,6.41587283061463e-17
5127.4873,5.699377095540366e-17
5128.7373,4.755495399004148e-17
5129.9873,5.030275686005015e-17
5131.2373,5.703895758734808e-17
5132.4873,5.23828699333285e-17
5133.7373,5.019647659866897e-17
5134.9873,5.508429874373069e-17
5136.2373,5.746302454065394e-17
5137.4873,5.955206757722075e-17
5138.7373,6.176149258083767e-17
5139.9873,6.753393881715372e-17
5141.2373,6.88032595335407e-17
5142.4873,6.35975712302879e-17
5143.7373,5.910970549406829e-17
5144.9873,5.923615012839986e-17
5146.2373,6.222012670446323e-17
5147.4873,5.417594056682823e-17
5148.7373,4.870353647491078e-17
5149.9873,5.257852756076388e-17
5151.2373,5.261881912043065e-17
5152.4873,4.920228725857206e-17
5153.7373,5.20843416793258e-17
5154.9873,5.670872396586855e-17
5156.2373,4.990946983054833e-17
5157.4873,4.358077180085359e-17
5158.7373,4.887753466194061e-17
5159.9873,5.728290740590037e-17
5161.2373,6.408440564567658e-17
5162.4873,7.109744115005305e-17
5163.7373,7.438028426558885e-17
5164.9873,7.28351753065321e-17
5166.2373,7.152067149221159e-17
5167.4873,6.944206769778404e-17
5168.7373,6.766807159800587e-17
5169.9873,6.209942351918163e-17
5171.2373,4.328578913935909e-17
5172.4873,2.766162202434776e-17
5173.7373,2.527987343493802e-17
5174.9873,2.932053351885006e-17
5176.2373,3.302797512478298e-17
5177.4873,2.994410125732422e-17
5178.7373,2.707349410068841e-17
5179.9873,3.218076949131342e-17
5181.2373,3.852758752893517e-17
5182.4873,4.191789840133103e-17
5183.7373,4.368898325225452e-17
5184.9873,4.365000435534819e-17
5186.2373,4.338444415057146e-17
5187.4873,4.185863327968267e-17
5188.7373,3.63476973319348e-17
5189.9873,3.85543091724537e-17
5191.2373,4.595723497178819e-17
5192.4873,4.887369133089795e-17
5193.7373,4.803643525300202e-17
5194.9873,4.966640750837914e-17
5196.2373,4.785923773118006e-17
5197.4873,3.886507425944011e-17
5198.7373,3.541051276312933e-17
5199.9873,3.942055979787568e-17
5201.2373,4.478170434268903e-17
5202.4873,5.162311324508101e-17
5203.7373,5.351538373028789e-17
5204.9873,5.419647875373745e-17
5206.2373,5.420967614444684e-17
5207.4873,5.204298837920767e-17
5208.7373,4.892275744026089e-17
5209.9873,4.026473721727913e-17
5211.2373,3.442374710271385e-17
5212.4873,3.843459596987123e-17
5213.7373,3.957479109399112e-17
5214.9873,3.801836306725019e-17
5216.2373,4.137681853117765e-17
5217.4873,4.938279759536555e-17
5218.7373,5.7559928656684e-17
5219.9873,5.86957497829861e-17
5221.2373,5.304703935034482e-17
5222.4873,5.275868134675199e-17
5223.7373,5.59378433189863e-17
5224.9873,5.448083535276814e-17
5226.2373,5.535478412392698e-17
5227.4873,5.914200538164302e-17
5228.7373,5.516599165551454e-17
5229.9873,4.460887661404079e-17
5231.2373,3.623789436246142e-17
5232.4873,3.867724808304395e-17
5233.7373,5.169330625934366e-17
5234.9873,6.305346455891926e-17
5236.2373,6.825093407148199e-17
5237.4873,6.817498192304444e-17
5238.7373,5.928073076413e-17
5239.9873,5.518324430489246e-17
5241.2373,6.23616704568745e-17
5242.4873,7.03744507815514e-17
5243.7373,6.771656832471304e-17
5244.9873,6.211236787018951e-17
5246.2373,6.054550944763937e-17
5247.4873,6.260296143331645e-17
5248.7373,6.508197022991414e-17
5249.9873,6.889560250741464e-17
5251.2373,6.204637537826726e-17
5252.4873,4.518722277982734e-17
5253.7373,4.403322040322385e-17
5254.9873,4.627589640299482e-17
5256.2373,3.977990018868154e-17
5257.4873,4.218411413122105e-17
5258.7373,5.191362043969424e-17
5259.9873,5.318431407787182e-17
5261.2373,5.474004319932726e-17
5262.4873,6.734033752441406e-17
5263.7373,7.497424880793065e-17
5264.9873,7.188357481403118e-17
5266.2373,6.61787905996817e-17
5267.4873,6.024824065031828e-17
5268.7373,5.122076998486929e-17
5269.9873,4.554524237738714e-17
5271.2373,4.54333854995539e-17
5272.4873,5.331792041166329e-17
5273.7373,5.693510715814285e-17
5274.9873,4.296786680621867e-17
5276.2373,4.198051284601659e-17
5277.4873,5.748953378182871e-17
5278.7373,6.37509429630232e-17
5279.9873,6.25243889778043e-17
5281.2373,6.075172619478202e-17
5282.4873,6.532302332748598e-17
5283.7373,7.500514418613761e-17
5284.9873,7.625911002453458e-17
5286.2373,7.142207536108697e-17
5287.4873,6.435680187084057e-17
5288.7373,6.008893896032262e-17
5289.9873,6.477755912121432e-17
5291.2373,7.643528858326099e-17
5292.4873,8.104077914014272e-17
5293.7373,7.648228065019773e-17
5294.9873,7.421462128815825e-17
5296.2373,7.674915705928098e-17
5297.4873,7.574291589054062e-17
5298.7373,7.348925595130445e-17
5299.9873,7.410179816351993e-17
5301.2373,6.549646210847076e-17
5302.4873,5.180710129726079e-17
5303.7373,5.279927114981188e-17
5304.9873,6.361915637357734e-17
5306.2373,6.556696890371817e-17
5307.4873,6.49328728117766e-17
5308.7373,7.023662113142602e-17
5309.9873,8.09831769024884e-17
5311.2373,8.510132645218458e-17
5312.4873,7.668805003225066e-17
5313.7373,7.281954102316018e-17
5314.9873,7.866503628200955e-17
5316.2373,7.918690135814526e-17
5317.4873,7.493030677324457e-17
5318.7373,7.322272540810667e-17
5319.9873,7.621840795446326e-17
5321.2373,7.817733956042626e-17
5322.4873,7.709805499041522e-17
5323.7373,7.595075223946274e-17
5324.9873,7.415171002423321e-17
5326.2373,7.337703165690101e-17
5327.4873,7.320970183949412e-17
5328.7373,7.096169375572676e-17
5329.9873,7.118590616108456e-17
5331.2373,7.443808482982491e-17
5332.4873,6.813629772044991e-17
5333.7373,5.207925812897858e-17
5334.9873,5.249942728678385e-17
5336.2373,6.709674416624467e-17
5337.4873,7.243126915448977e-17
5338.7373,7.310211252471545e-17
5339.9873,7.926193172501926e-17
5341.2373,8.278905377423324e-17
5342.4873,7.85535452458888e-17
5343.7373,7.799499066388162e-17
5344.9873,7.399162467297211e-17
5346.2373,6.440896320861063e-17
5347.4873,6.866873168191793e-17
5348.7373,7.747343657316985e-17
5349.9873,7.798296512556662e-17
5351.2373,7.435517953378183e-17
5352.4873,7.553937059190536e-17
5353.7373,7.309317054277584e-17
5354.9873,6.877979774757669e-17
5356.2373,7.661334401071806e-17
5357.4873,8.619107825761959e-17
5358.7373,8.967747177312403e-17
5359.9873,9.520872606819059e-17
5361.2373,9.660081990559897e-17
5362.4873,9.11877772955247e-17
5363.7373,9.03007883481626e-17
5364.9873,8.989671567563654e-17
5366.2373,8.476345933702252e-17
5367.4873,7.893357497980568e-17
5368.7373,8.001304450141057e-17
5369.9873,7.937710857626834e-17
5371.2373,7.574862238377697e-17
5372.4873,7.51481551860291e-17
5373.7373,7.762436938627264e-17
5374.9873,7.346268908088592e-17
5376.2373,6.24880393096547e-17
5377.4873,6.151067305199892e-17
5378.7373,7.68321004985291e-17
5379.9873,8.97889168746383e-17
5381.2373,8.929081463095581e-17
5382.4873,8.383760831102911e-17
5383.7373,8.698718810281635e-17
5384.9873,9.04662763280044e-17
5386.2373,8.697557656370566e-17
5387.4873,8.40926117922936e-17
5388.7373,8.12895230516975e-17
5389.9873,7.826148867760174e-17
5391.2373,7.7537253131631e-17
5392.4873,7.977874078444492e-17
5393.7373,7.952702693986304e-17
5394.9873,7.368250251675827e-17
5396.2373,7.182282882878808e-17
5397.4873,7.542620933250143e-17
5398.7373,7.658836531274115e-17
5399.9873,7.185854111659675e-17
5401.2373,6.729228132083092e-17
5402.4873,5.810223369080342e-17
5403.7373,6.389222122004002e-17
5404.9873,8.043757363401812e-17
5406.2373,8.333405337486737e-17
5407.4873,8.432958664882328e-17
5408.7373,8.502517519350407e-17
5409.9873,7.56378070972584e-17
5411.2373,6.195679622697241e-17
5412.4873,6.335341126995324e-17
5413.7373,6.942416246955778e-17
5414.9873,6.354410630214363e-17
5416.2373,6.467773888858746e-17
5417.4873,7.901783491723335e-17
5418.7373,8.528627004364388e-17
5419.9873,8.41193758740837e-17
5421.2373,8.566592390649108e-17
5422.4873,9.04539189543547e-17
5423.7373,9.035932177131556e-17
5424.9873,8.666785866066263e-17
5426.2373,8.478405865704569e-17
5427.4873,8.862358265817903e-17
5428.7373,9.025495677806713e-17
5429.9873,8.337771793318379e-17
5431.2373,8.04114034092279e-17
5432.4873,8.581551598066166e-17
5433.7373,8.9439869987582e-17
5434.9873,7.385374038507906e-17
5436.2373,6.843750494309412e-17
5437.4873,7.461545068057962e-17
5438.7373,7.158609408154897e-17
5439.9873,6.497361891758292e-17
5441.2373,6.440383304548852e-17
5442.4873,7.326676417974776e-17
5443.7373,8.397702048972799e-17
5444.9873,9.455111784758392e-17
5446.2373,1.001020515799817e-16
5447.4873,1.008257885139371e-16
5448.7373,1.034132229727286e-16
5449.9873,1.027001002935716e-16
5451.2373,8.994738133559992e-17
5452.4873,6.836472553771216e-17
5453.7373,6.070727957266347e-17
5454.9873,6.357367361563222e-17
5456.2373,6.401632323465229e-17
5457.4873,6.421660474235628e-17
5458.7373,6.301353095160589e-17
5459.9873,5.870430048436291e-17
5461.2373,5.357406311035154e-17
5462.4873,5.73025671688127e-17
5463.7373,6.605425539369935e-17
5464.9873,6.651172064887152e-17
5466.2373,6.254677706494743e-17
5467.4873,6.462458150981382e-17
5468.7373,6.75097574040919e-17
5469.9873,6.929690520109952e-17
5471.2373,7.165096197434412e-17
5472.4873,7.23018633882499e-17
5473.7373,7.455197917420191e-17
5474.9873,7.29188329776717e-17
5476.2373,6.863062588915412e-17
5477.4873,6.763584103431229e-17
5478.7373,6.563428439670138e-17
5479.9873,6.448429577486015e-17
5481.2373,6.557522056297019e-17
5482.4873,6.384575165925201e-17
5483.7373,6.898319889775027e-17
5484.9873,7.799900211287134e-17
5486.2373,7.547207489390429e-17
5487.4873,6.868494305645977e-17
5488.7373,7.101109732168691e-17
5489.9873,7.810844126006701e-17
5491.2373,8.189262035228589e-17
5492.4873,8.037988072524837e-17
5493.7373,7.872383383668499e-17
5494.9873,7.855045600043406e-17
5496.2373,7.394038162796587e-17
5497.4873,7.667147075135028e-17
5498.7373,8.0357687573845e-17
5499.9873,8.069283489462773e-17
5501.2373,8.408296061951437e-17
5502.4873,7.721359334309897e-17
5503.7373,7.028452465669605e-17
5504.9873,7.571938655146847e-17
5506.2373,7.441204379611542e-17
5507.4873,6.730252622251156e-17
5508.7373,7.127779103973768e-17
5509.9873,7.714651217236933e-17
5511.2373,7.28612043743369e-17
5512.4873,6.563554516450858e-17
5513.7373,6.944122841163919e-17
5514.9873,7.6759003574701e-17
5516.2373,7.741178088529608e-17
5517.4873,7.166252152807918e-17
5518.7373,6.692192379798417e-17
5519.9873,6.67570600420163e-17
5521.2373,7.102091916684749e-17
5522.4873,7.80572488516348e-17
5523.7373,8.56286132661796e-17
5524.9873,9.114405629099151e-17
5526.2373,8.997601053120179e-17
5527.4873,8.700649215133102e-17
5528.7373,8.855767434956112e-17
5529.9873,8.976842151029608e-17
5531.2373,8.818895206404317e-17
5532.4873,8.346525349181376e-17
5533.7373,7.890772845232928e-17
5534.9873,8.170878769862799e-17
5536.2373,8.859979936764563e-17
5537.4873,8.927570624457464e-17
5538.7373,8.443246433587724e-17
5539.9873,8.050351691351993e-17
5541.2373,8.119754619080343e-17
5542.4873,8.498789600513596e-17
5543.7373,8.746292552806712e-17
5544.9873,9.048176671911168e-17
5546.2373,9.69622032033661e-17
5547.4873,9.81337428264853e-17
5548.7373,9.352397020881559e-17
5549.9873,9.07970717441888e-17
5551.2373,8.93265007414641e-17
5552.4873,8.786891681435668e-17
5553.7373,9.281326660156247e-17
5554.9873,9.701221868067612e-17
5556.2373,9.716896360797646e-17
5557.4873,9.656816546404801e-17
5558.7373,9.464018194504724e-17
5559.9873,9.197011322398243e-17
5561.2373,9.259772492585355e-17
5562.4873,9.240071884343655e-17
5563.7373,9.08020704481337e-17
5564.9873,9.178115002290699e-17
5566.2373,9.150438342435862e-17
5567.4873,9.138471337589216e-17
5568.7373,9.059361724476755e-17
5569.9873,8.988555636935764e-17
5571.2373,8.924226102852529e-17
5572.4873,8.790417628158754e-17
5573.7373,8.905504921995564e-17
5574.9873,8.699726081753955e-17
5576.2373,8.720707525559411e-17
5577.4873,8.986470971378281e-17
5578.7373,8.694299759476272e-17
5579.9873,8.835457421573593e-17
5581.2373,9.157764378677182e-17
5582.4873,9.173907702787426e-17
5583.7373,9.292085165895059e-17
5584.9873,9.357746462975015e-17
5586.2373,9.616624383620269e-17
5587.4873,9.365412856867288e-17
5588.7373,9.241606571903933e-17
5589.9873,9.219114177939333e-17
5591.2373,9.077984463915411e-17
5592.4873,8.449046960901329e-17
5593.7373,7.787121343165265e-17
5594.9873,7.823908387737511e-17
5596.2373,8.410812362105758e-17
5597.4873,8.678811934859666e-17
5598.7373,8.577173253188895e-17
5599.9873,8.622922117633588e-17
5601.2373,9.143091599452644e-17
5602.4873,9.455371211299189e-17
5603.7373,8.479150220329378e-17
5604.9873,7.648589399926455e-17
5606.2373,7.755725369677129e-17
5607.4873,7.871233877676504e-17
5608.7373,7.836394321771316e-17
5609.9873,7.923478561589747e-17
5611.2373,8.322875711323297e-17
5612.4873,8.792197622793692e-17
5613.7373,9.023677268699363e-17
5614.9873,9.011288548599058e-17
5616.2373,8.852760684919942e-17
5617.4873,9.051987869827831e-17
5618.7373,9.331536628628954e-17
5619.9873,8.861354416835455e-17
5621.2373,7.876368634259258e-17
5622.4873,7.9227654554579e-17
5623.7373,8.361263674889084e-17
5624.9873,8.272383770978006e-17
5626.2373,8.267914455084152e-17
5627.4873,8.546583206741897e-17
